strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
coarse,insert,1,10000,1,21299254.53
coarse,insert,1,10000,2,19561815.34
coarse,insert,1,10000,3,24260067.93
coarse,insert,1,10000,4,21381227.28
coarse,insert,1,10000,5,21877050.97
coarse,insert,1,50000,1,4196215.01
coarse,insert,1,50000,2,4223436.69
coarse,insert,1,50000,3,2737506.02
coarse,insert,1,50000,4,3563766.47
coarse,insert,1,50000,5,3645085.33
coarse,insert,1,100000,1,1300691.19
coarse,insert,1,100000,2,1517485.22
coarse,insert,1,100000,3,1174365.02
coarse,insert,1,100000,4,1216644.18
coarse,insert,1,100000,5,1411183.63
coarse,insert,1,500000,1,88597.52
coarse,insert,1,500000,2,87329.85
coarse,insert,1,500000,3,104227.9
coarse,insert,1,500000,4,87402.11
coarse,insert,1,500000,5,86969.18
coarse,insert,2,10000,1,3847929.81
coarse,insert,2,10000,2,4191466.17
coarse,insert,2,10000,3,6465377.9
coarse,insert,2,10000,4,6921852.29
coarse,insert,2,10000,5,5409791.72
coarse,insert,2,50000,1,2431575.47
coarse,insert,2,50000,2,2198227.35
coarse,insert,2,50000,3,2368624.26
coarse,insert,2,50000,4,2293314.99
coarse,insert,2,50000,5,2731538.89
coarse,insert,2,100000,1,431863.21
coarse,insert,2,100000,2,358085.65
coarse,insert,2,100000,3,296120.2
coarse,insert,2,100000,4,380671.77
coarse,insert,2,100000,5,292166.15
coarse,insert,2,500000,1,62474.48
coarse,insert,2,500000,2,55703.69
coarse,insert,2,500000,3,64307.01
coarse,insert,2,500000,4,54797.18
coarse,insert,2,500000,5,60765.08
coarse,insert,4,10000,1,6547502.13
coarse,insert,4,10000,2,5964807.63
coarse,insert,4,10000,3,6863417.98
coarse,insert,4,10000,4,6043756.8
coarse,insert,4,10000,5,6565126.05
coarse,insert,4,50000,1,1503628.25
coarse,insert,4,50000,2,1544005.71
coarse,insert,4,50000,3,1601593.91
coarse,insert,4,50000,4,1274996.3
coarse,insert,4,50000,5,1588683.49
coarse,insert,4,100000,1,329971.26
coarse,insert,4,100000,2,443300.14
coarse,insert,4,100000,3,226198.29
coarse,insert,4,100000,4,297240.42
coarse,insert,4,100000,5,442443.81
coarse,insert,4,500000,1,50507.71
coarse,insert,4,500000,2,48762.32
coarse,insert,4,500000,3,52388.55
coarse,insert,4,500000,4,48212.91
coarse,insert,4,500000,5,56485.74
coarse,insert,8,10000,1,4264756.06
coarse,insert,8,10000,2,3817668.17
coarse,insert,8,10000,3,4170837.5
coarse,insert,8,10000,4,4211235.58
coarse,insert,8,10000,5,3966365.22
coarse,insert,8,50000,1,829063.66
coarse,insert,8,50000,2,961185.41
coarse,insert,8,50000,3,917074.46
coarse,insert,8,50000,4,848498.84
coarse,insert,8,50000,5,799545.86
coarse,insert,8,100000,1,197620.37
coarse,insert,8,100000,2,241168.88
coarse,insert,8,100000,3,198720.4
coarse,insert,8,100000,4,229425.94
coarse,insert,8,100000,5,225992.22
coarse,insert,8,500000,1,46051.83
coarse,insert,8,500000,2,47686.04
coarse,insert,8,500000,3,46591.22
coarse,insert,8,500000,4,46081.86
coarse,insert,8,500000,5,36916.33
coarse,insert,16,10000,1,2001841.69
coarse,insert,16,10000,2,1909745.43
coarse,insert,16,10000,3,2062748.82
coarse,insert,16,10000,4,2031653.16
coarse,insert,16,10000,5,2060835.88
coarse,insert,16,50000,1,391855.36
coarse,insert,16,50000,2,359887.51
coarse,insert,16,50000,3,413631.3
coarse,insert,16,50000,4,419920.35
coarse,insert,16,50000,5,420251.06
coarse,insert,16,100000,1,191514.67
coarse,insert,16,100000,2,203547.59
coarse,insert,16,100000,3,237347.37
coarse,insert,16,100000,4,180185.08
coarse,insert,16,100000,5,203319.27
coarse,insert,16,500000,1,35364.15
coarse,insert,16,500000,2,35378.3
coarse,insert,16,500000,3,35078.9
coarse,insert,16,500000,4,34926.54
coarse,insert,16,500000,5,34908.05
coarse,lookup,1,10000,1,13041210.22
coarse,lookup,1,10000,2,18214936.25
coarse,lookup,1,10000,3,15615240.47
coarse,lookup,1,10000,4,21743857.36
coarse,lookup,1,10000,5,23946360.15
coarse,lookup,1,50000,1,3980606.49
coarse,lookup,1,50000,2,4234309.77
coarse,lookup,1,50000,3,3471498.99
coarse,lookup,1,50000,4,4059891.52
coarse,lookup,1,50000,5,4247547.04
coarse,lookup,1,100000,1,1577361.7
coarse,lookup,1,100000,2,1627222.79
coarse,lookup,1,100000,3,1287795.18
coarse,lookup,1,100000,4,1598629.02
coarse,lookup,1,100000,5,1538407.1
coarse,lookup,1,500000,1,80072.58
coarse,lookup,1,500000,2,86715.62
coarse,lookup,1,500000,3,70443.94
coarse,lookup,1,500000,4,75271.92
coarse,lookup,1,500000,5,80857.11
coarse,lookup,2,10000,1,9219138.93
coarse,lookup,2,10000,2,9528346.83
coarse,lookup,2,10000,3,8727526.62
coarse,lookup,2,10000,4,7709505.82
coarse,lookup,2,10000,5,7221259.39
coarse,lookup,2,50000,1,2416883.38
coarse,lookup,2,50000,2,2041191.24
coarse,lookup,2,50000,3,2364010.31
coarse,lookup,2,50000,4,2231575.0
coarse,lookup,2,50000,5,2004305.25
coarse,lookup,2,100000,1,748900.99
coarse,lookup,2,100000,2,522246.39
coarse,lookup,2,100000,3,636008.92
coarse,lookup,2,100000,4,718402.16
coarse,lookup,2,100000,5,773700.98
coarse,lookup,2,500000,1,46046.65
coarse,lookup,2,500000,2,44842.31
coarse,lookup,2,500000,3,46034.41
coarse,lookup,2,500000,4,47407.39
coarse,lookup,2,500000,5,43975.5
coarse,lookup,4,10000,1,7586102.26
coarse,lookup,4,10000,2,6664001.07
coarse,lookup,4,10000,3,7846214.2
coarse,lookup,4,10000,4,7917029.53
coarse,lookup,4,10000,5,6708257.87
coarse,lookup,4,50000,1,1079244.62
coarse,lookup,4,50000,2,1450587.2
coarse,lookup,4,50000,3,1046141.1
coarse,lookup,4,50000,4,1219241.58
coarse,lookup,4,50000,5,1416009.4
coarse,lookup,4,100000,1,356559.25
coarse,lookup,4,100000,2,465718.68
coarse,lookup,4,100000,3,432918.61
coarse,lookup,4,100000,4,445834.66
coarse,lookup,4,100000,5,383005.73
coarse,lookup,4,500000,1,40394.79
coarse,lookup,4,500000,2,39575.99
coarse,lookup,4,500000,3,41683.24
coarse,lookup,4,500000,4,47968.25
coarse,lookup,4,500000,5,39578.08
coarse,lookup,8,10000,1,6024096.39
coarse,lookup,8,10000,2,4701457.45
coarse,lookup,8,10000,3,5581914.6
coarse,lookup,8,10000,4,4441286.2
coarse,lookup,8,10000,5,4858378.27
coarse,lookup,8,50000,1,1063727.94
coarse,lookup,8,50000,2,844657.37
coarse,lookup,8,50000,3,902924.75
coarse,lookup,8,50000,4,976963.21
coarse,lookup,8,50000,5,785093.28
coarse,lookup,8,100000,1,314373.57
coarse,lookup,8,100000,2,275200.75
coarse,lookup,8,100000,3,278749.22
coarse,lookup,8,100000,4,216004.09
coarse,lookup,8,100000,5,248388.27
coarse,lookup,8,500000,1,46948.81
coarse,lookup,8,500000,2,37530.55
coarse,lookup,8,500000,3,35357.56
coarse,lookup,8,500000,4,52121.91
coarse,lookup,8,500000,5,45711.54
coarse,lookup,16,10000,1,3289040.92
coarse,lookup,16,10000,2,3020691.74
coarse,lookup,16,10000,3,2932035.42
coarse,lookup,16,10000,4,2991414.64
coarse,lookup,16,10000,5,2954297.03
coarse,lookup,16,50000,1,544032.35
coarse,lookup,16,50000,2,500089.02
coarse,lookup,16,50000,3,531149.25
coarse,lookup,16,50000,4,479119.49
coarse,lookup,16,50000,5,505351.16
coarse,lookup,16,100000,1,207635.38
coarse,lookup,16,100000,2,212342.67
coarse,lookup,16,100000,3,216979.8
coarse,lookup,16,100000,4,219573.48
coarse,lookup,16,100000,5,198975.32
coarse,lookup,16,500000,1,54824.51
coarse,lookup,16,500000,2,45318.45
coarse,lookup,16,500000,3,53416.28
coarse,lookup,16,500000,4,46048.52
coarse,lookup,16,500000,5,53278.98
coarse,mixed,1,10000,1,21181952.98
coarse,mixed,1,10000,2,22237046.92
coarse,mixed,1,10000,3,22878059.94
coarse,mixed,1,10000,4,23584905.66
coarse,mixed,1,10000,5,23557126.03
coarse,mixed,1,50000,1,4141644.23
coarse,mixed,1,50000,2,4083165.92
coarse,mixed,1,50000,3,4099234.26
coarse,mixed,1,50000,4,3936356.98
coarse,mixed,1,50000,5,4071362.85
coarse,mixed,1,100000,1,1487451.12
coarse,mixed,1,100000,2,1268340.2
coarse,mixed,1,100000,3,1606056.76
coarse,mixed,1,100000,4,1627188.36
coarse,mixed,1,100000,5,1377296.64
coarse,mixed,1,500000,1,76760.01
coarse,mixed,1,500000,2,66951.47
coarse,mixed,1,500000,3,74724.81
coarse,mixed,1,500000,4,66081.29
coarse,mixed,1,500000,5,70953.76
coarse,mixed,2,10000,1,7182876.02
coarse,mixed,2,10000,2,7427764.99
coarse,mixed,2,10000,3,7355104.44
coarse,mixed,2,10000,4,7253735.67
coarse,mixed,2,10000,5,7067137.81
coarse,mixed,2,50000,1,2078811.92
coarse,mixed,2,50000,2,2261052.02
coarse,mixed,2,50000,3,2259141.62
coarse,mixed,2,50000,4,1931076.03
coarse,mixed,2,50000,5,2069347.99
coarse,mixed,2,100000,1,527672.74
coarse,mixed,2,100000,2,645039.77
coarse,mixed,2,100000,3,693122.22
coarse,mixed,2,100000,4,694764.33
coarse,mixed,2,100000,5,992077.27
coarse,mixed,2,500000,1,38798.99
coarse,mixed,2,500000,2,43049.32
coarse,mixed,2,500000,3,39490.32
coarse,mixed,2,500000,4,38215.87
coarse,mixed,2,500000,5,39613.77
coarse,mixed,4,10000,1,6651589.73
coarse,mixed,4,10000,2,5935422.6
coarse,mixed,4,10000,3,5842827.93
coarse,mixed,4,10000,4,6049240.82
coarse,mixed,4,10000,5,6421782.69
coarse,mixed,4,50000,1,1184954.87
coarse,mixed,4,50000,2,1227891.81
coarse,mixed,4,50000,3,1292350.32
coarse,mixed,4,50000,4,915109.0
coarse,mixed,4,50000,5,1275637.12
coarse,mixed,4,100000,1,306969.09
coarse,mixed,4,100000,2,337677.33
coarse,mixed,4,100000,3,488761.9
coarse,mixed,4,100000,4,444241.67
coarse,mixed,4,100000,5,358664.88
coarse,mixed,4,500000,1,34332.36
coarse,mixed,4,500000,2,33874.52
coarse,mixed,4,500000,3,34240.95
coarse,mixed,4,500000,4,33404.26
coarse,mixed,4,500000,5,34632.29
coarse,mixed,8,10000,1,3536568.11
coarse,mixed,8,10000,2,3623450.97
coarse,mixed,8,10000,3,3496503.5
coarse,mixed,8,10000,4,3611412.06
coarse,mixed,8,10000,5,3738737.05
coarse,mixed,8,50000,1,516373.16
coarse,mixed,8,50000,2,584696.85
coarse,mixed,8,50000,3,575899.53
coarse,mixed,8,50000,4,621584.39
coarse,mixed,8,50000,5,498898.43
coarse,mixed,8,100000,1,176004.84
coarse,mixed,8,100000,2,218123.58
coarse,mixed,8,100000,3,228257.71
coarse,mixed,8,100000,4,233653.38
coarse,mixed,8,100000,5,253361.86
coarse,mixed,8,500000,1,33611.31
coarse,mixed,8,500000,2,33297.25
coarse,mixed,8,500000,3,32998.69
coarse,mixed,8,500000,4,33004.26
coarse,mixed,8,500000,5,33184.95
coarse,mixed,16,10000,1,2154568.76
coarse,mixed,16,10000,2,1891324.49
coarse,mixed,16,10000,3,1788972.77
coarse,mixed,16,10000,4,1822954.64
coarse,mixed,16,10000,5,1781864.19
coarse,mixed,16,50000,1,320644.98
coarse,mixed,16,50000,2,323045.41
