strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
coarse,lookup,2,500000,2,44842.31
coarse,lookup,2,500000,3,46034.41
coarse,lookup,2,500000,5,43975.5
coarse,lookup,4,500000,1,40394.79
coarse,lookup,4,500000,2,39575.99
coarse,lookup,4,500000,3,41683.24
coarse,lookup,4,500000,5,39578.08
coarse,lookup,8,500000,2,37530.55
coarse,lookup,8,500000,3,35357.56
coarse,insert,8,500000,5,36916.33
coarse,insert,16,500000,1,35364.15
coarse,insert,16,500000,2,35378.3
coarse,insert,16,500000,3,35078.9
coarse,insert,16,500000,4,34926.54
coarse,insert,16,500000,5,34908.05
coarse,mixed,2,500000,1,38798.99
coarse,mixed,2,500000,3,39490.32
coarse,mixed,2,500000,4,38215.87
coarse,mixed,2,500000,5,39613.77
coarse,mixed,4,500000,1,34332.36
coarse,mixed,4,500000,2,33874.52
coarse,mixed,4,500000,3,34240.95
coarse,mixed,4,500000,4,33404.26
coarse,mixed,4,500000,5,34632.29
coarse,mixed,8,500000,1,33611.31
coarse,mixed,8,500000,2,33297.25
coarse,mixed,8,500000,3,32998.69
coarse,mixed,8,500000,4,33004.26
coarse,mixed,8,500000,5,33184.95
coarse,mixed,16,500000,1,33632.72
coarse,mixed,16,500000,2,32460.94
coarse,mixed,16,500000,3,33544.29
coarse,mixed,16,500000,4,32673.73
coarse,mixed,16,500000,5,33210.69
