strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
coarse,lookup,1,50000,1,3980606.49
coarse,lookup,1,50000,2,4234309.77
coarse,lookup,1,50000,3,3471498.99
coarse,lookup,1,50000,4,4059891.52
coarse,lookup,1,50000,5,4247547.04
coarse,lookup,1,500000,1,80072.58
coarse,lookup,1,500000,2,86715.62
coarse,lookup,1,500000,3,70443.94
coarse,lookup,1,500000,4,75271.92
coarse,lookup,1,500000,5,80857.11
coarse,lookup,2,50000,1,2416883.38
coarse,lookup,2,50000,2,2041191.24
coarse,lookup,2,50000,3,2364010.31
coarse,lookup,2,50000,4,2231575.0
coarse,lookup,2,50000,5,2004305.25
coarse,lookup,2,500000,1,46046.65
coarse,lookup,2,500000,2,FAILED
coarse,lookup,2,500000,3,FAILED
coarse,lookup,2,500000,4,47407.39
coarse,lookup,2,500000,5,FAILED
coarse,lookup,4,50000,1,1079244.62
coarse,lookup,4,50000,2,1450587.2
coarse,lookup,4,50000,3,1046141.1
coarse,lookup,4,50000,4,1219241.58
coarse,lookup,4,50000,5,1416009.4
coarse,lookup,4,500000,1,FAILED
coarse,lookup,4,500000,2,FAILED
coarse,lookup,4,500000,3,FAILED
coarse,lookup,4,500000,4,47968.25
coarse,lookup,4,500000,5,FAILED
coarse,lookup,8,50000,1,1063727.94
coarse,lookup,8,50000,2,844657.37
coarse,lookup,8,50000,3,902924.75
coarse,lookup,8,50000,4,976963.21
coarse,lookup,8,50000,5,785093.28
coarse,lookup,8,500000,1,46948.81
coarse,lookup,8,500000,2,FAILED
coarse,lookup,8,500000,3,FAILED
coarse,lookup,8,500000,4,52121.91
coarse,lookup,8,500000,5,45711.54
coarse,lookup,16,50000,1,544032.35
coarse,lookup,16,50000,2,500089.02
coarse,lookup,16,50000,3,531149.25
coarse,lookup,16,50000,4,479119.49
coarse,lookup,16,50000,5,505351.16
coarse,lookup,16,500000,1,54824.51
coarse,lookup,16,500000,2,45318.45
coarse,lookup,16,500000,3,53416.28
coarse,lookup,16,500000,4,46048.52
coarse,lookup,16,500000,5,53278.98
coarse,insert,1,50000,1,4196215.01
coarse,insert,1,50000,2,4223436.69
coarse,insert,1,50000,3,2737506.02
coarse,insert,1,50000,4,3563766.47
coarse,insert,1,50000,5,3645085.33
coarse,insert,1,500000,1,88597.52
coarse,insert,1,500000,2,87329.85
coarse,insert,1,500000,3,104227.9
coarse,insert,1,500000,4,87402.11
coarse,insert,1,500000,5,86969.18
coarse,insert,2,50000,1,2431575.47
coarse,insert,2,50000,2,2198227.35
coarse,insert,2,50000,3,2368624.26
coarse,insert,2,50000,4,2293314.99
coarse,insert,2,50000,5,2731538.89
coarse,insert,2,500000,1,62474.48
coarse,insert,2,500000,2,55703.69
coarse,insert,2,500000,3,64307.01
coarse,insert,2,500000,4,54797.18
