strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
fine,lookup,1,1000000,1,26216.63
fine,lookup,1,1000000,2,28386.71
fine,lookup,1,1000000,3,28944.32
fine,lookup,1,1000000,4,29305.97
fine,lookup,1,1000000,5,28273.03
fine,lookup,2,1000000,1,50023.91
fine,lookup,2,1000000,2,52039.26
fine,lookup,2,1000000,3,47863.59
fine,lookup,2,1000000,4,49805.02
fine,lookup,2,1000000,5,44432.97
fine,lookup,4,1000000,1,80767.63
fine,lookup,4,1000000,2,84858.44
fine,lookup,4,1000000,3,82690.11
fine,lookup,4,1000000,4,74646.35
fine,lookup,4,1000000,5,77073.84
fine,insert,1,1000000,1,26114.19
fine,insert,1,1000000,2,26108.3
fine,insert,1,1000000,3,26468.29
fine,insert,1,1000000,4,28540.23
fine,insert,1,1000000,5,29691.24
fine,insert,2,1000000,1,43478.49
fine,insert,2,1000000,2,36878.25
fine,insert,2,1000000,3,46377.06
fine,insert,2,1000000,4,41350.1
fine,insert,2,1000000,5,41567.68
fine,insert,4,1000000,1,82090.16
fine,insert,4,1000000,2,82165.9
fine,insert,4,1000000,3,98408.13
fine,insert,4,1000000,4,86159.71
fine,mixed,1,1000000,1,25933.79
fine,mixed,1,1000000,2,23013.15
fine,mixed,1,1000000,3,26689.07
fine,mixed,1,1000000,4,27608.47
fine,mixed,1,1000000,5,26218.4
fine,mixed,2,1000000,1,43877.38
fine,mixed,2,1000000,2,45167.83
fine,mixed,2,1000000,3,45648.05
fine,mixed,2,1000000,4,45734.74
fine,mixed,2,1000000,5,42632.03
fine,mixed,4,1000000,1,83461.04
fine,mixed,4,1000000,2,79034.31
fine,mixed,4,1000000,3,90659.07
fine,mixed,4,1000000,4,81662.15
fine,mixed,4,1000000,5,88733.0
